wa_label,ons_label,name,subgroup,OA_2001,OA_2001_new,IN250,OUT250,IN500,OUT500,IN750,OUT750,IN1000,OUT1000
02AJGJ,00AJGJ0011,,7b2,02AJGJ0011,E00006236,0,0,0,0,0,0,0,0
02ATGQ,00ATGQ0012,,7b2,02ATGQ0012,E00013253,0,0,0,0,0,0,0,0
02BAFX,00BAFX0021,,7b1,02BAFX0021,E00016992,0,0,0,0,0,0,0,0
02BAFX,00BAFX0025,,7b2,02BAFX0025,E00016996,0,0,0,0,0,0,0,0
02BAFX,00BAFX0027,,7b2,02BAFX0027,E00016998,0,0,0,0,0,0,0,0
02AJGX,00AJGX0023,,7b2,02AJGX0023,E00006735,0,0,0,0,0,0,0,0
02ATGQ,00ATGQ0015,,7b2,02ATGQ0015,E00013256,0,0,0,0,0,0,0,0
02BDGK,00BDGK0009,,6d1,02BDGK0009,E00019527,0,0,0,0,0,0,0,0
02ATGQ,00ATGQ0016,,7b2,02ATGQ0016,E00013257,0,0,0,0,0,0,0,0
02ATGQ,00ATGQ0017,,7b2,02ATGQ0017,E00013258,0,0,0,0,0,0,0,0
02AXFY,00AXFY0010,,2a2,02AXFY0010,E00014711,0,0,0,0,0,0,0,0
02ANGB,00ANGB0044,,7b2,02ANGB0044,E00009314,0,0,0,0,0,0,0,0
02ASGZ,00ASGZ0001,,6d1,02ASGZ0001,E00012491,0,0,0,0,0,0,0,0
02ATGB,00ATGB0025,,7b1,02ATGB0025,E00012843,0,0,0,0,0,0,0,0
02BJGM,00BJGM0015,,7b2,02BJGM0015,E00023058,0,0,0,0,0,0,0,0
02AJGT,00AJGT0008,,7b2,02AJGT0008,E00006604,0,0,0,0,0,0,0,0
02BJGT,00BJGT0036,,2a2,02BJGT0036,E00023355,0,0,0,0,0,0,0,0
02AJGS,00AJGS0031,,7b2,02AJGS0031,E00006585,0,0,0,0,0,0,0,0
02AJGX,00AJGX0003,,7b2,02AJGX0003,E00006715,0,0,0,0,0,0,0,0
02ASHC,00ASHC0016,,2b2,02ASHC0016,E00012619,0,0,0,0,0,0,0,0
02AJGX,00AJGX0010,,7b2,02AJGX0010,E00006722,0,0,0,0,0,0,0,0
02BJGT,00BJGT0042,,7b2,02BJGT0042,E00023361,0,0,0,0,0,0,0,0
02AHHD,00AHHD0041,,7b2,02AHHD0041,E00005901,0,0,0,0,0,0,0,0
02BFGD,00BFGD0013,,7b1,02BFGD0013,E00020575,0,0,0,0,0,0,0,0
02BJGE,00BJGE0015,,7b1,02BJGE0015,E00022738,0,0,0,0,0,0,0,0
02BJGE,00BJGE0012,,7b1,02BJGE0012,E00022735,0,0,0,0,0,0,0,0
02AJGU,00AJGU0030,,2a2,02AJGU0030,E00006670,0,0,0,0,0,0,0,0
02AXGL,00AXGL0013,,2a1,02AXGL0013,E00015082,0,0,0,0,0,0,0,0
02BJGT,00BJGT0013,,7b2,02BJGT0013,E00023332,0,0,0,0,0,0,0,0
02BJGT,00BJGT0002,,2a1,02BJGT0002,E00023321,0,0,0,0,0,0,0,0
02BJGU,00BJGU0026,,7b2,02BJGU0026,E00023392,0,0,0,0,0,0,0,0
02BFGU,00BFGU0009,,2a2,02BFGU0009,E00021079,0,0,0,0,0,0,0,0
02BFGU,00BFGU0031,,2a1,02BFGU0031,E00021101,0,0,0,0,0,0,0,0
02BAGM,00BAGM0001,,2b1,02BAGM0001,E00017413,0,0,0,0,0,0,0,0
02ASHE,00ASHE0036,,7b1,02ASHE0036,E00012711,0,0,0,0,0,0,0,0
02AJGD,00AJGD0010,,2b2,02AJGD0010,E00006020,0,0,0,0,0,0,0,0
02BFGP,00BFGP0004,,2b2,02BFGP0004,E00020893,0,0,0,0,0,0,0,0
02AJHA,00AJHA0031,,2a2,02AJHA0031,E00006850,0,0,0,0,0,0,0,0
02BJGF,00BJGF0020,,7b1,02BJGF0020,E00022787,0,0,0,0,0,0,0,0
02ASHE,00ASHE0035,,7a2,02ASHE0035,E00012710,0,0,0,0,0,0,0,0
02BJGF,00BJGF0022,,7b1,02BJGF0022,E00022789,0,0,0,0,0,0,0,0
02ATGH,00ATGH0007,,2a2,02ATGH0007,E00013030,0,0,0,0,0,0,0,0
02BFGQ,00BFGQ0030,,2b1,02BFGQ0030,E00020958,0,0,0,0,0,0,0,0
02ASHE,00ASHE0002,,2b2,02ASHE0002,E00012677,0,0,0,0,0,0,0,0
02ASHE,00ASHE0009,,2b2,02ASHE0009,E00012684,0,0,0,0,0,0,0,0
02ASGG,00ASGG0017,,7a3,02ASGG0017,E00011957,0,0,0,0,0,0,0,0
02BJGC,00BJGC0009,,2a2,02BJGC0009,E00022634,0,0,0,0,0,0,0,0
02AJGT,00AJGT0036,,7b2,02AJGT0036,E00006632,0,0,0,0,0,0,0,0
02AXGG,00AXGG0013,,7b2,02AXGG0013,E00014962,0,0,0,0,0,0,0,0
02BJGC,00BJGC0046,,2a2,02BJGC0046,E00022671,0,0,0,0,0,0,0,0
02AJGT,00AJGT0032,,7b1,02AJGT0032,E00006628,0,0,0,0,0,0,0,0
02ASGZ,00ASGZ0017,,6d1,02ASGZ0017,E00012507,0,0,0,0,0,0,0,0
02AJGT,00AJGT0037,,7b2,02AJGT0037,E00006633,0,0,0,0,0,0,0,0
02BJGR,00BJGR0017,,7a3,02BJGR0017,E00023250,0,0,0,0,0,0,0,0
02AXGC,00AXGC0004,,6d1,02AXGC0004,E00014831,0,0,0,0,0,0,0,0
02BJGF,00BJGF0019,,7b2,02BJGF0019,E00022786,0,0,0,0,0,0,0,0
02BJGR,00BJGR0018,,7b2,02BJGR0018,E00023251,0,0,0,0,0,0,0,0
02BFGE,00BFGE0007,,6d1,02BFGE0007,E00020602,0,0,0,0,0,0,0,0
02AHHD,00AHHD0036,,7a3,02AHHD0036,E00005896,0,0,0,0,0,0,0,0
02ANGB,00ANGB0012,,7b1,02ANGB0012,E00009282,0,0,0,0,0,0,0,0
02ASGT,00ASGT0020,,2b1,02ASGT0020,E00012330,0,0,0,0,0,0,0,0
02ASGT,00ASGT0009,,2b1,02ASGT0009,E00012319,0,0,0,0,0,0,0,0
02AJGT,00AJGT0022,,7a2,02AJGT0022,E00006618,0,0,0,0,0,0,0,0
02ASHE,00ASHE0032,,7a2,02ASHE0032,E00012707,0,0,0,0,0,0,0,0
02AXGF,00AXGF0029,,2b2,02AXGF0029,E00014946,0,0,0,0,0,0,0,0
02AXGK,00AXGK0018,,2a2,02AXGK0018,E00015052,0,0,0,0,0,0,0,0
02ASGT,00ASGT0030,,6d1,02ASGT0030,E00012340,0,0,0,0,0,0,0,0
02AYGM,00AYGM0033,,7a3,02AYGM0033,E00015741,0,0,0,0,0,0,0,0
02AXGK,00AXGK0007,,2a2,02AXGK0007,E00015041,0,0,0,0,0,0,0,0
02AXGK,00AXGK0017,,2a1,02AXGK0017,E00015051,0,0,0,0,0,0,0,0
02AHGL,00AHGL0017,,7b1,02AHGL0017,E00005148,0,0,0,0,0,0,0,0
02AXGD,00AXGD0001,,4d1,02AXGD0001,E00014859,0,0,0,0,0,0,0,0
02ATGR,00ATGR0006,,2b2,02ATGR0006,E00013283,0,0,0,0,0,0,0,0
02ATGS,00ATGS0022,,7b2,02ATGS0022,E00013332,0,0,0,0,0,0,0,0
02BJGT,00BJGT0028,,7b2,02BJGT0028,E00023347,0,0,0,0,0,0,0,0
02BDGM,00BDGM0004,,2a2,02BDGM0004,E00019588,0,0,0,0,0,0,0,0
02BDGJ,00BDGJ0013,,2a2,02BDGJ0013,E00019490,0,0,0,0,0,0,0,0
02BDGE,00BDGE0017,,2b2,02BDGE0017,E00019352,0,0,0,0,0,0,0,0
02BDGE,00BDGE0013,,2b1,02BDGE0013,E00019348,0,0,0,0,0,0,0,0
02AJGX,00AJGX0020,,7b2,02AJGX0020,E00006732,0,0,0,0,0,0,0,0
02BJGL,00BJGL0037,,7b1,02BJGL0037,E00023037,0,0,0,0,0,0,0,0
02ATGH,00ATGH0009,,7b2,02ATGH0009,E00013032,0,0,0,0,0,0,0,0
02BFGE,00BFGE0010,,2a1,02BFGE0010,E00020605,0,0,0,0,0,0,0,0
02AYGM,00AYGM0005,,7b1,02AYGM0005,E00015713,0,0,0,0,0,0,0,0
02AJGX,00AJGX0015,,2a2,02AJGX0015,E00006727,0,0,0,0,0,0,0,0
02ATGJ,00ATGJ0022,,2a2,02ATGJ0022,E00013075,0,0,0,0,0,0,0,0
02AJGF,00AJGF0017,,2b2,02AJGF0017,E00006107,0,0,0,0,0,0,0,0
02BAGA,00BAGA0026,,7b1,02BAGA0026,E00017093,0,0,0,0,0,0,0,0
02AJGX,00AJGX0039,,2a2,02AJGX0039,E00006751,0,0,0,0,0,0,0,0
02BAGA,00BAGA0020,,7b2,02BAGA0020,E00017087,0,0,0,0,0,0,0,0
