OA_2001_old,OA_2001,IN500Cent,OUT500Cent,IN750Cent,OUT750Cent,IN1000Cent,OUT1000Cent
00AJGJ0011,E00006236,0,0,0,0,0,0
00ATGQ0012,E00013253,0,0,0,0,0,0
00BAFX0021,E00016992,0,0,0,0,0,0
00BAFX0025,E00016996,0,0,0,0,0,0
00BAFX0027,E00016998,0,0,0,0,0,0
00AJGX0023,E00006735,0,0,0,0,0,0
00ATGQ0015,E00013256,0,0,0,0,0,0
00BDGK0009,E00019527,0,0,0,0,0,0
00ATGQ0016,E00013257,0,0,0,0,0,0
00ATGQ0017,E00013258,0,0,0,0,0,0
00AXFY0010,E00014711,0,0,0,0,0,0
00ANGB0044,E00009314,0,0,0,0,0,0
00ASGZ0001,E00012491,0,0,0,0,0,0
00ATGB0025,E00012843,0,0,0,0,0,0
00BJGM0015,E00023058,0,0,0,0,0,0
00AJGT0008,E00006604,0,0,0,0,0,0
00BJGT0036,E00023355,0,0,0,0,0,0
00AJGS0031,E00006585,0,0,0,0,0,0
00AJGX0003,E00006715,0,0,0,0,0,0
00ASHC0016,E00012619,0,0,0,0,0,0
00AJGX0010,E00006722,0,0,0,0,0,0
00BJGT0042,E00023361,0,0,0,0,0,0
00AHHD0041,E00005901,0,0,0,0,0,0
00BFGD0013,E00020575,0,0,0,0,0,0
00BJGE0015,E00022738,0,0,0,0,0,0
00BJGE0012,E00022735,0,0,0,0,0,0
00AJGU0030,E00006670,0,0,0,0,0,0
00AXGL0013,E00015082,0,0,0,0,0,0
00BJGT0013,E00023332,0,0,0,0,0,0
00BJGT0002,E00023321,0,0,0,0,0,0
00BJGU0026,E00023392,0,0,0,0,0,0
00BFGU0009,E00021079,0,0,0,0,0,0
00BFGU0031,E00021101,0,0,0,0,0,0
00BAGM0001,E00017413,0,0,0,0,0,0
00ASHE0036,E00012711,0,0,0,0,0,0
00AJGD0010,E00006020,0,0,0,0,0,0
00BFGP0004,E00020893,0,0,0,0,0,0
00AJHA0031,E00006850,0,0,0,0,0,0
00BJGF0020,E00022787,0,0,0,0,0,0
00ASHE0035,E00012710,0,0,0,0,0,0
00BJGF0022,E00022789,0,0,0,0,0,0
00ATGH0007,E00013030,0,0,0,0,0,0
00BFGQ0030,E00020958,0,0,0,0,0,0
00ASHE0002,E00012677,0,0,0,0,0,0
00ASHE0009,E00012684,0,0,0,0,0,0
00ASGG0017,E00011957,0,0,0,0,0,0
00BJGC0009,E00022634,0,0,0,0,0,0
00AJGT0036,E00006632,0,0,0,0,0,0
00AXGG0013,E00014962,0,0,0,0,0,0
00BJGC0046,E00022671,0,0,0,0,0,0
00AJGT0032,E00006628,0,0,0,0,0,0
00ASGZ0017,E00012507,0,0,0,0,0,0
00AJGT0037,E00006633,0,0,0,0,0,0
00BJGR0017,E00023250,0,0,0,0,0,0
00AXGC0004,E00014831,0,0,0,0,0,0
00BJGF0019,E00022786,0,0,0,0,0,0
00BJGR0018,E00023251,0,0,0,0,0,0
00BFGE0007,E00020602,0,0,0,0,0,0
00AHHD0036,E00005896,0,0,0,0,0,0
00ANGB0012,E00009282,0,0,0,0,0,0
00ASGT0020,E00012330,0,0,0,0,0,0
00ASGT0009,E00012319,0,0,0,0,0,0
00AJGT0022,E00006618,0,0,0,0,0,0
00ASHE0032,E00012707,0,0,0,0,0,0
00AXGF0029,E00014946,0,0,0,0,0,0
00AXGK0018,E00015052,0,0,0,0,0,0
00ASGT0030,E00012340,0,0,0,0,0,0
00AYGM0033,E00015741,0,0,0,0,0,0
00AXGK0007,E00015041,0,0,0,0,0,0
00AXGK0017,E00015051,0,0,0,0,0,0
00AHGL0017,E00005148,0,0,0,0,0,0
00AXGD0001,E00014859,0,0,0,0,0,0
00ATGR0006,E00013283,0,0,0,0,0,0
00ATGS0022,E00013332,0,0,0,0,0,0
00BJGT0028,E00023347,0,0,0,0,0,0
00BDGM0004,E00019588,0,0,0,0,0,0
00BDGJ0013,E00019490,0,0,0,0,0,0
00BDGE0017,E00019352,0,0,0,0,0,0
00BDGE0013,E00019348,0,0,0,0,0,0
00AJGX0020,E00006732,0,0,0,0,0,0
00BJGL0037,E00023037,0,0,0,0,0,0
00ATGH0009,E00013032,0,0,0,0,0,0
00BFGE0010,E00020605,0,0,0,0,0,0
