"","Year","Buffer","Cars"
"1","2001","In",61.28261
"2","2002","In",63.0422
"3","2003","In",64.20716
"4","2004","In",64.62532
"5","2005","In",65.18286
"6","2006","In",65.90793
"7","2007","In",65.27494
"8","2008","In",63.98593
"9","2009","In",63.10486
"10","2010","In",62.32225
"11","2011","In",60.92199
"12","2012","In",59.63811
"13","2013","In",58.90281
"14","2001","Rest",91.43392
"15","2002","Rest",93.26676
"16","2003","Rest",94.57238
"17","2004","Rest",96.39833
"18","2005","Rest",97.82192
"19","2006","Rest",97.67934
"20","2007","Rest",98.26706
"21","2008","Rest",98.94456
"22","2009","Rest",98.89202
"23","2010","Rest",98.8013
"24","2011","Rest",98.12205
"25","2012","Rest",97.77363
"26","2013","Rest",98.35739
"27","2001","Out",60.7577
"28","2002","Out",61.72409
"29","2003","Out",62.16947
"30","2004","Out",62.87955
"31","2005","Out",63.15686
"32","2006","Out",61.86275
"33","2007","Out",61.09384
"34","2008","Out",61.94398
"35","2009","Out",62.97759
"36","2010","Out",62.88095
"37","2011","Out",62.37535
"38","2012","Out",60.84034
"39","2013","Out",60.26751
