"","Year","Buffer","Cars"
"1","2000","In",49.61594
"2","2001","In",50.79348
"3","2002","In",53.94384
"4","2003","In",54.88949
"5","2004","In",55.02355
"6","2005","In",55.9058
"7","2006","In",55.01812
"8","2000","Rest",94.5193
"9","2001","Rest",97.24926
"10","2002","Rest",99.18914
"11","2003","Rest",100.60653
"12","2004","Rest",102.57217
"13","2005","Rest",104.10043
"14","2006","Rest",104.02027
"15","2000","Out",53.9063
"16","2001","Out",55.69599
"17","2002","Out",56.49505
"18","2003","Out",56.9417
"19","2004","Out",57.64706
"20","2005","Out",57.97189
"21","2006","Out",57.24675
