"","Year","BuffExtRer","Cars"
"1","2001","In",65.34572
"2","2002","In",67.35316
"3","2003","In",68.56506
"4","2004","In",69.63569
"5","2005","In",70.42007
"6","2006","In",70.79182
"7","2007","In",69.32342
"8","2008","In",67.67286
"9","2009","In",67.16729
"10","2010","In",66.46468
"11","2011","In",64.94424
"12","2012","In",63.71375
"13","2013","In",62.9777
"14","2001","Rest",93.62476
"15","2002","Rest",95.51712
"16","2003","Rest",96.86317
"17","2004","Rest",98.71014
"18","2005","Rest",100.15599
"19","2006","Rest",100.01276
"20","2007","Rest",100.58314
"21","2008","Rest",101.24366
"22","2009","Rest",101.11641
"23","2010","Rest",100.88406
"24","2011","Rest",100.01195
"25","2012","Rest",99.38389
"26","2013","Rest",99.69353
"27","2001","Out",53.91221
"28","2002","Out",54.24809
"29","2003","Out",54.19084
"30","2004","Out",54.66412
"31","2005","Out",54.19466
"32","2006","Out",52.90076
"33","2007","Out",52.28244
"34","2008","Out",54.33969
"35","2009","Out",57.55344
"36","2010","Out",57.87023
"37","2011","Out",57.55344
"38","2012","Out",55.93511
"39","2013","Out",55.58779
